year,rcp,global_ce_dmg,global_dmg,global_dmg_old,gdp,pct_gdp_ce,pct_gdp,pct_gdp_old
2035,rcp85,95192810987.5116,93704579244.64325,93704579244.64932,147818679683911.62,6.439836371902884e-4,6.339156826797305e-4,6.339156826797716e-4
2036,rcp45,85100531910.81416,83820250907.33429,83820250907.3365,149769437292163.47,5.682102667235364e-4,5.596619205013205e-4,5.596619205013352e-4
2036,rcp85,107691024836.51048,106118958237.20117,106118958237.2081,149769437292163.47,7.190453992721604e-4,7.085488211469279e-4,7.085488211469742e-4
2037,rcp45,137679656444.83096,136097021354.89217,136097021354.8943,151750085692086.75,9.072789370557205e-4,8.968497166521809e-4,8.96849716652195e-4
2037,rcp85,130326738560.01733,128696560602.3512,128696560602.35672,151750085692086.75,8.588248103164888e-4,8.480822927737053e-4,8.480822927737418e-4
2038,rcp45,126108362973.87767,124659441911.41623,124659441911.4192,155478327736904.66,8.110993011661028e-4,8.017801820094236e-4,8.017801820094428e-4
2038,rcp85,120975044623.1857,119309170696.02307,119309170696.02945,155478327736904.66,7.780830060630425e-4,7.673684971574568e-4,7.673684971574979e-4
2039,rcp45,125653303463.4981,124213613218.77884,124213613218.7818,157552108579219.72,7.975348892288395e-4,7.883970220323789e-4,7.883970220323976e-4
2039,rcp85,118653772832.03543,116889041182.85759,116889041182.86429,157552108579219.72,7.531081234141301e-4,7.419071838323504e-4,7.419071838323929e-4
2040,rcp45,141650167695.85587,140003259821.47006,140003259821.473,159657988898886.12,8.872100210755198e-4,8.768947973542138e-4,8.768947973542321e-4
2040,rcp85,188103688246.42496,186170584627.88397,186170584627.8905,159657988898886.12,0.0011781664641006718,0.0011660586852674732,0.001166058685267514
2041,rcp45,167546345856.4991,165955944142.96213,165955944142.96533,161437930309958.06,0.0010378375486777673,0.001027986073807621,0.0010279860738076408
2041,rcp85,178824999842.33923,176709452240.56604,176709452240.5724,161437930309958.06,0.0011077012663566629,0.001094596863954381,0.0010945968639544206
2042,rcp45,182951158373.254,181212302322.7449,181212302322.74826,163241296854665.72,0.0011207406575318747,0.0011100885977650546,0.0011100885977650752
2042,rcp85,190452468739.1189,188282374115.93716,188282374115.94388,163241296854665.72,0.0011666929411169734,0.0011533991566090387,0.00115339915660908
2043,rcp45,177843325023.46307,176093667037.48224,176093667037.4849,166504030722842.7,0.0010681022210176727,0.0010575940190337024,0.0010575940190337182
2043,rcp85,221572436503.7909,219106673427.74368,219106673427.74994,166504030722842.7,0.00133073316929254,0.0013159241399534746,0.0013159241399535123
2044,rcp45,209251550139.55618,207392523138.48074,207392523138.48376,168380544564806.78,0.0012427299761999455,0.001231689347926173,0.0012316893479261907
2044,rcp85,282419283990.1926,280053654779.1721,280053654779.17914,168380544564806.78,0.0016772679095445869,0.0016632186070130227,0.0016632186070130643
2045,rcp45,192746195229.63486,190843872185.08395,190843872185.0873,170282080725922.75,0.0011319229504827884,0.0011207513519420544,0.0011207513519420741
2045,rcp85,304655078930.49603,302021688073.7894,302021688073.7967,170282080725922.75,0.0017891200156336657,0.0017736551420223009,0.0017736551420223436
2046,rcp45,223943047912.10703,221940235674.5664,221940235674.56955,171836942793551.25,0.0013032299357255046,0.001291574629218179,0.0012915746292181973
2046,rcp85,263151624754.04782,260581866340.44202,260581866340.4491,171836942793551.25,0.0015314030875782285,0.0015164484545882016,0.0015164484545882428
2047,rcp45,232012333008.532,230000281625.4516,230000281625.45502,173409842648398.38,0.0013379421229217918,0.0013263392556776298,0.0013263392556776496
2047,rcp85,317038733220.6751,314009214158.306,314009214158.31287,173409842648398.38,0.0018282626198069692,0.0018107923365975457,0.0018107923365975852
2048,rcp45,232851874659.7643,230913649691.57574,230913649691.57864,176054608728209.53,0.0013226116393194657,0.0013116024133628717,0.0013116024133628882
2048,rcp85,349887008565.8256,346460174859.70197,346460174859.7093,176054608728209.53,0.00198737772952014,0.0019679131228797424,0.001967913122879784
2049,rcp45,264763690972.78076,262639228302.0259,262639228302.02908,177685704061495.88,0.001490067489510286,0.0014781111946469716,0.0014781111946469893
2049,rcp85,367713311579.49713,364296352985.21136,364296352985.2189,177685704061495.88,0.002069459180870476,0.002050228829096632,0.0020502288290966744
2050,rcp45,271973420928.14172,269570913868.72147,269570913868.7245,179336095376578.5,0.0015165570564979623,0.0015031603833163846,0.0015031603833164015
2050,rcp85,408725706515.68097,405219838068.93713,405219838068.94446,179336095376578.5,0.0022791045252625757,0.002259555374048025,0.002259555374048066
2051,rcp45,311744696051.9192,309041773785.74994,309041773785.7526,180819258805054.06,0.0017240679898374058,0.0017091197908234758,0.0017091197908234907
2051,rcp85,436071436606.7469,432079940503.0717,432079940503.07886,180819258805054.06,0.0024116426507249807,0.00238956814311969,0.0023895681431197295
2052,rcp45,323197668914.7916,320939330171.8042,320939330171.8081,182319260575603.56,0.0017727017315363072,0.0017603150054391434,0.0017603150054391649
2052,rcp85,474146469212.0471,469850586001.32025,469850586001.327,182319260575603.56,0.0026006383950610066,0.0025770759738600636,0.002577075973860101
2053,rcp45,351184621432.217,348448995105.4024,348448995105.40564,184588993316905.5,0.001902522003732353,0.0018877019092204447,0.0018877019092204622
2053,rcp85,539897939270.8491,535119802091.4355,535119802091.44275,184588993316905.5,0.0029248652889283773,0.0028989800121653666,0.002898980012165406
